FID,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,FROM_X,FROM_Y,NEAR_X,NEAR_Y,FID_,AREA,SUM
0,0,0,119,68.264379899500000,29.497815513799999,-2.799094983160000,29.498027703199998,-2.798515677690000,0,0.000007638277790,51.497598409699997
1,0,1,131,5.510700508230000,29.666309986300000,-2.788769651370000,29.666358444899998,-2.788780107470000,1,0.000005555111120,46.608760356900000
2,0,2,116,5.737828684730000,29.736766409200001,-2.780531499480000,29.736816456200000,-2.780544150210000,2,0.000002083166670,33.026401519799997
3,0,3,116,12.720881946400000,29.736986222399999,-2.776188483480000,29.737088437800001,-2.776136808290000,3,0.000005555111120,97.536419868500005
4,0,4,17,10.280055268800000,29.446760064700001,-2.768235607720000,29.446843967800000,-2.768196557930000,4,0.000002083166670,16.922649860400000
5,0,5,95,12.805660720800001,29.618546136999999,-2.743640310330000,29.618496362999998,-2.743535877000000,5,0.000002083166670,22.521761417400000
6,0,6,95,89.726012014899993,29.609905385800001,-2.741317132430000,29.609483332300002,-2.742008731140000,6,0.000006249500010,26.032614469500000
7,0,7,17,48.379562779600001,29.427901004300001,-2.736563683820000,29.427978519200000,-2.736994204410000,7,0.000002777555560,14.210347890900000
8,0,8,17,36.422149550000000,29.430438084500000,-2.733425926470000,29.430765537999999,-2.733417689000000,8,0.000001388777780,5.483973741530000
9,0,9,13,34.888530440899999,29.858390238500000,-2.732126469080000,29.858231664200002,-2.731854215710000,9,0.000002083166670,19.037111282300000
10,0,10,13,15.147213015800000,29.863099493200000,-2.725424603310000,29.863016059000000,-2.725316319970000,10,0.000001388777780,11.571007728600000
11,0,11,119,59.490728776399997,29.535553513400000,-2.713613907440000,29.535815982100001,-2.713145094840000,11,0.000001388777780,18.217789650000000
12,0,12,17,98.157907585800004,29.539568323000001,-2.713973599670000,29.540450006000000,-2.713929947000000,12,0.000004860722230,65.992627143899995
13,0,13,101,167.028423119000000,29.036954193800000,-2.714329661940000,29.038381483599998,-2.713858859440000,13,0.000006943888900,12.786387443500001
14,0,14,119,8.706513755220000,29.532283060800001,-2.711298265440000,29.532263009000001,-2.711374377000000,14,0.000001388777780,12.382934570300000
15,0,15,119,3.382932616910000,29.529203169799999,-2.710874266870000,29.529194844500001,-2.710903692620000,15,0.000003471944450,25.432950019800000
16,0,16,132,13.196539718800000,29.007537486899999,-2.707024219950000,29.007423143099999,-2.706992261570000,16,0.000000694388890,27.358142852800000
17,0,17,132,121.312590489000000,29.008766985899999,-2.706160257710000,29.007701424200000,-2.705924828520000,17,0.000004860722230,207.766902923999990
18,0,18,132,71.044205084400005,29.029916650899999,-2.706767049420000,29.030150138100002,-2.706169001150000,18,0.000029164333380,394.897774219999970
19,0,19,119,95.436602768800000,29.566961535400001,-2.698974952160000,29.567604863900002,-2.698403654510000,19,0.000001388777780,5.922021627430000
20,0,20,119,38.410193308300002,29.569532338199998,-2.696432870470000,29.569864640399999,-2.696338036870000,20,0.000004860722230,52.800081253099997
21,0,21,52,265.016485751000000,29.009449736899999,-2.696976360850000,29.007220007000001,-2.696129946000000,21,0.000125684389090,6909.438376430000100
22,0,22,77,13.369340438000000,29.498571155800001,-2.688428322560000,29.498610193600001,-2.688542677440000,22,0.000004166333340,24.626933813099999
23,0,23,131,34.813924729299998,29.713390504400000,-2.687921311700000,29.713467374000000,-2.688226514000000,23,0.000004860722230,18.746073007600000
24,0,24,116,91.276986787599995,29.860141867399999,-2.678887939480000,29.860821216000001,-2.679351263000000,24,0.000004860722230,36.556991100300003
25,0,25,96,165.500302186999990,29.759436851499999,-2.678046556190000,29.760766553600000,-2.678718910380000,25,0.000003471944450,30.625774383500001
26,0,26,13,36.999553632100003,29.892780282600000,-2.672815046540000,29.892981505800002,-2.673081528790000,26,0.000000694388890,4.163805961610000
27,0,27,116,2.365693690270000,29.854702860100002,-2.673018311970000,29.854698413900000,-2.673039233650000,27,0.000006249500010,53.072438716900002
28,0,28,90,41.783673724200000,29.619658375800000,-2.671335607920000,29.619282621100002,-2.671335490690000,28,0.000003471944450,21.277441978500001
29,0,29,40,507.998478482999990,29.690190404100001,-2.664699037670000,29.688063744600001,-2.660633108280000,29,0.000007638277790,70.058098792999999
30,0,30,96,112.484428581000000,29.756444980300000,-2.660092174490000,29.757425307999998,-2.659841397000000,30,0.000005555111120,32.521659374199999
31,0,31,131,17.721649423700001,29.738880534500002,-2.658561932010000,29.738885140800001,-2.658722130770000,31,0.000001388777780,8.995362281800000
32,0,32,52,27.479538755600000,29.010350105099999,-2.664592675840000,29.010585244300000,-2.664516240720000,32,0.000069438889000,1001.150832180000000
33,0,33,90,19.352090162800000,29.610062503900000,-2.655549646760000,29.609892607799999,-2.655587558520000,33,0.000004166333340,26.303230524100002
34,0,34,96,9.174809015610000,29.753428747800001,-2.654014465670000,29.753479364899999,-2.653948942230000,34,0.000002083166670,23.153438568100000
35,0,35,88,48.164710340699997,29.553994430300001,-2.651748063700000,29.554109754999999,-2.651328209650000,35,0.000002083166670,11.073433875999999
36,0,36,96,19.768211563500000,29.751057264000000,-2.650320418350000,29.750881868800001,-2.650349541070000,36,0.000001388777780,16.704197883599999
37,0,37,116,151.333614549999990,29.865276492900001,-2.649750311510000,29.863917527300000,-2.649823227040000,37,0.000002083166670,12.627547740900001
38,0,38,119,17.608229366200000,29.557646036500000,-2.650128908820000,29.557670597200001,-2.650286221660000,38,0.000005555111120,46.689930677400000
39,0,39,119,0.907193204034000,29.608452390899998,-2.648661955540000,29.608448446099999,-2.648669136840000,39,0.000001388777780,4.884844541550000
40,0,40,96,2.472459343890000,29.781724398200002,-2.651214254380000,29.781724217800001,-2.651191895430000,40,0.000020137277810,155.178256750000000
41,0,41,88,75.521105504700003,29.553056806600001,-2.648541249520000,29.552386071499999,-2.648648355500000,41,0.000004860722230,26.611467123000001
42,0,42,96,78.344649858400004,29.747851355400002,-2.645774149320000,29.748509955799999,-2.645522525010000,42,0.000006249500010,100.813754082000000
43,0,43,52,0.041315071456300,29.012607083300001,-2.645604258540000,29.012606716899999,-2.645604196980000,43,0.000005555111120,36.655193805700002
44,0,44,116,1.018319230050000,29.862921843300001,-2.636492637800000,29.862930912600000,-2.636493911470000,44,0.000002777555560,17.666021823900000
45,0,45,52,101.692618606000000,29.012646012000001,-2.637024741200000,29.013536465800001,-2.637234174200000,45,0.000043052111180,781.811852693999980
46,0,46,132,71.773507601099993,28.953131022499999,-2.638647607670000,28.952494778799998,-2.638756742280000,46,0.000032636277830,472.328094006000010
47,0,47,75,46.453477755100003,28.903402010299999,-2.625792671900000,28.903684310999999,-2.625483017000000,47,0.000001388777780,8.244075775150000
48,0,48,40,15.638227410600001,29.799735131900000,-2.620554416440000,29.799679696100000,-2.620424444250000,48,0.000001388777780,17.536237716700001
49,0,49,96,261.576900000000020,29.744107105800001,-2.629797980950000,29.741762389600002,-2.629608855710000,49,0.000252757555960,10945.544832199999000
50,0,50,75,33.162505896600003,28.903787256699999,-2.619351998770000,28.903490002200002,-2.619376029310000,50,0.000002083166670,14.303924560500000
51,0,51,40,12.043333221999999,29.722512477300000,-2.620023822260000,29.722404779400001,-2.620035287300000,51,0.000006249500010,92.043296337100003
52,0,52,40,5.286685661300000,29.773495569700000,-2.617090489820000,29.773496640299999,-2.617138287870000,52,0.000001388777780,14.648684024800000
53,0,53,132,4.265142411140000,28.944601208600002,-2.616841539330000,28.944637767000000,-2.616829875130000,53,0.000002777555560,35.280872821800003
54,0,54,36,1.358436554010000,29.215337957500001,-2.616506578210000,29.215349013800001,-2.616511802160000,54,0.000006249500010,101.070428848000010
55,0,55,107,39.578667667500000,29.643132037899999,-2.610307509520000,29.643487660400002,-2.610321845430000,55,0.000011804611130,101.606750965000000
56,0,56,107,1.063133295990000,29.604047048100000,-2.608297837510000,29.604044872799999,-2.608307199780000,56,0.000002083166670,7.126415729520000
57,0,57,52,204.808837352000010,29.015556150500000,-2.615930164980000,29.017395777600001,-2.616018767800000,57,0.000074299611230,1695.919240949999900
58,0,58,40,31.639032393499999,29.824616922299999,-2.603636884880000,29.824566749199999,-2.603918528410000,58,0.000007638277790,69.825343132000000
59,0,59,75,0.484071959492000,28.912203246499999,-2.602051268240000,28.912202751700001,-2.602055617580000,59,0.000001388777780,11.333932876600000
60,0,60,40,80.339464175100005,29.833314738799999,-2.602735458190000,29.833857150800000,-2.603215363510000,60,0.000004166333340,35.336393833199999
61,0,61,75,20.322446085300001,28.933807531799999,-2.604730857140000,28.933655754200000,-2.604628493900000,61,0.000009027055570,69.525497913400002
62,0,62,52,103.952929505000000,29.012932835499999,-2.601154783030000,29.011998314100001,-2.601132595790000,62,0.000000694388890,10.087265014600000
63,0,63,75,5.236508867860000,28.958951043799999,-2.599086858650000,28.958932482700000,-2.599130380880000,63,0.000002083166670,7.568651676180000
64,0,64,52,3.029645736660000,29.011393741500001,-2.599298735520000,29.011366802700000,-2.599294648710000,64,0.000004860722230,59.714252948800002
65,0,65,39,15.196004508800000,29.762834324100002,-2.599706994780000,29.762969420499999,-2.599727643230000,65,0.000004166333340,101.689945221000000
66,0,66,28,16.612994979200000,29.005564630900000,-2.598042223870000,29.005618803099999,-2.598182237650000,66,0.000002777555560,51.678204536400003
67,0,67,119,606.671043786000040,29.727373648600000,-2.605581292910000,29.727599500299998,-2.600099562470000,67,0.000044440888960,1650.174781799999900
68,0,68,88,16.779612769200000,29.547477150799999,-2.596634303440000,29.547360007000002,-2.596729947000000,68,0.000002083166670,12.660118579900001
69,0,69,116,12.203299175300000,29.838259437000001,-2.597637494330000,29.838153353300001,-2.597609258350000,69,0.000009721444460,133.925778866000000
70,0,70,75,57.242236492799996,28.910716601400001,-2.594960084210000,28.910202888800001,-2.594927391870000,70,0.000002083166670,16.017816543599999
